Title;Tipo paper;DOI
Institutional Coordination of Disaster Management: Engaging National and Local Governments in Japan;journalArticle;10.1061/(ASCE)NH.1527-6996.0000423
What makes a successful livelihood recovery? a study of China’s Lushan earthquake;journalArticle;10.1007/s11069-020-04412-y
Analysis of the Capacity of the Rehabilitation and Reconstruction Policy Due to the Mount Sinabung Eruption Disaster in Indonesia;journalArticle;10.48047/rigeo.11.05.377
Integrating Green Solutions into Post-earthquake Recovery of Bam, Iran;journalArticle;
Trends and relationships in victims’ recovery perceptions: a case study of the recovery process following the Great East Japan Earthquake;bookSection;10.1007/s11069-021-04979-0
Assessing post-disaster recovery using sentiment analysis: The case of L’Aquila, Italy;bookSection;10.1177/87552930211036486
Dynamic economic resilience scenarios for measuring long-term community housing recovery;bookSection;10.1080/17477891.2021.1962784
Post-disaster sheltering process after the 2019 floods, in Golestan province, Iran;journalArticle;10.1108/IJDRBE-03-2021-0023
Prolific, but undemanding. The state and the post-disaster reconstruction of a small regional capital: the case of L’Aquila, Italy;journalArticle;10.1080/04353684.2021.1944816
Efforts to Grasp Progresses of Recovery and Reconstruction Following the Great East Japan Earthquake on Broader-Areas and Local-Areas;journalArticle;10.5026/jgeography.130.289
Corrupción pasiva en la reconstrucción de la Ciudad de México;journalArticle;10.22201/iis.01882503p.2021.2.60090
Social capital, trust, and collective action in post-earthquake Nepal;journalArticle;10.1007/s11069-020-04363-4
Women’s capabilities in disaster recovery and resilience must be acknowledged, utilized and supported;journalArticle;10.1080/09589236.2020.1801397
A Bayesian Modeling Approach for Estimating Earthquake Reconstruction Behavior;conferencePaper;10.1080/24694452.2020.1756207
Alternative narrations and imaginations of disaster recovery: a case study of relocatees after the Christchurch, New Zealand, earthquakes;journalArticle;10.1080/14649365.2019.1574883
Defining build-back-better after disasters with an example: Sri Lanka’s recovery after the 2004 tsunami;journalArticle;10.1561/101.00000122
Prospects and constraints of post-cyclone housing reconstruction in Vanuatu drawing from the experience of tropical cyclone Harold;journalArticle;10.1016/j.pdisas.2020.100126
Anatomy of disaster recoveries: Tangible and intangible short-term recovery dynamics following the 2015 Nepal earthquakes;journalArticle;10.1016/j.ijdrr.2020.101879
"Recovery and reconstruction of schools after M 7.3 Ezgeleh-Sarpole-Zahab earthquake; part II: Recovery process and resiliency calculation";journalArticle;10.1016/j.soildyn.2020.106327
The Impact of a Cyclonic Disaster on Coastal Communities in Bangladesh: Possible Community-led Interventions Towards Sustainable Disaster Recovery;conferencePaper;10.1007/s40609-020-00181-5
Assessing disaster capitalism in post-disaster processes in Chile: neoliberal reforms and the role of the corporate class;journalArticle;10.1108/DPM-01-2020-0005
Promoting School’s Recovery and Resilience after the Chi-Chi earthquake;bookSection;10.1108/DPM-09-2019-0311
Prioritizing psychosocial services for children, youth and families postdisaster;journalArticle;10.1108/DPM-09-2019-0310
Top-down reconstruction and the failure to “build back better” resilient communities after disaster: lessons from the 2009 L'Aquila Italy earthquake;conferencePaper;10.1108/DPM-11-2019-0336
The influence of the physical environment on self-recovery after disasters in Nepal and the Philippines;journalArticle;10.1016/j.ijdrr.2020.101673
A tale of two counties in the wake of the 2017 hurricane season;journalArticle;10.1016/j.ijdrr.2020.101902
Opportunities and Challenges of Public Participation in Post-Disaster Recovery Planning: Lessons from Galveston, TX;journalArticle;10.1061/(ASCE)NH.1527-6996.0000399
Navigating multidimensional household recoveries following the 2015 Nepal earthquakes;journalArticle;10.1016/j.worlddev.2020.105041
Structural and operational factors as determinant of meaningful community participation in sustainable disaster recovery programs: The case of Bangladesh;journalArticle;10.1016/j.ijdrr.2020.101710
Importance of Households in Business Disaster Recovery;journalArticle;10.1061/(ASCE)NH.1527-6996.0000393
Housing rehabilitation and reconstruction in Central Sulawesi post-2018 earthquake;journalArticle;10.1051/e3sconf/202020003004
Recovery of the island of saint martin after hurricane irma: An interdisciplinary perspective;journalArticle;10.3390/su12208585
Guest Editorial to the Special Issue: Lessons Learned from post-2008 Wenchuan Earthquake Community Recovery;journalArticle;10.1007/s11069-020-04341-w
Nurses and Churches Are Essential to Postdisaster Recovery;journalArticle;10.1097/CNJ.0000000000000750
Recovery evaluation of villages reconstructed with concentrated rural settlement after the Wenchuan earthquake;journalArticle;10.1007/s11069-020-04241-z
Airdropped urban condominiums and stay-behind elders’ well-being: 10-year lessons learned from the post-wenchuan earthquake rural recovery;journalArticle;10.1016/j.jrurstud.2020.08.008
Rebuilding resilient homeland: an NGO-led post-Lushan earthquake experimental reconstruction program;bookSection;10.1007/s11069-020-04194-3
The evolving pattern of NGOs’ participating in post-disaster community reconstruction in China: cases study on the 2008 Wenchuan earthquake and the 2013 Lushan earthquake;journalArticle;10.1007/s11069-020-04130-5
Key factors affecting sustained business operations after an earthquake: a case study from New Beichuan, China, 2013–2017;journalArticle;10.1007/s11069-019-03597-1
Research on transformation from “paired assistance” to “collaborative networks” in post-disaster recovery of 2008 Wenchuan Earthquake, China;journalArticle;10.1007/s11069-019-03598-0
Community satisfaction levels on the housing reconstruction project after Mentawai tsunami in 2010 - A case study at Sipora Island;journalArticle;10.1088/1757-899X/933/1/012041
Community development corporations and reconstruction policy in Puerto Rico;journalArticle;
Puerto Rico housing and community development industry’s capacity for disaster recovery;journalArticle;
What is possible? Policy options for long-term disaster recovery in Puerto Rico;journalArticle;
Revisiting cyclone Phailin: Drivers of recovery in marine fishing communities;journalArticle;10.1016/j.ijdrr.2020.101609
Role of local actors in WASH (water, sanitation and hygiene) during disaster recovery: policy implications from evidence in Odisha, India;journalArticle;10.1080/17477891.2019.1667290
Geo-Logics of Power: Disaster Capitalism, Himalayan Materialities, and the Geopolitical Economy of Reconstruction in Post-Earthquake Nepal;journalArticle;10.1080/14650045.2018.1533818
Sink or swim? Impacts of management strategies on small business survival and recovery;journalArticle;10.3390/SU12156229
Liquidity and consumption: Evidence from three post-earthquake reconstruction programs in Italy;journalArticle;10.1257/mac.20180190
Women as recovery enablers in the face of disasters in Vanuatu;journalArticle;10.1016/j.geoforum.2020.05.003
Does ‘Manna from Heaven’ help? The role of cash transfers in disaster recovery—lessons from Fiji after Tropical Cyclone Winston;journalArticle;10.1111/disa.12411
"A framework of resilience development for poor villages after the wenchuan earthquake based on the principle of ""build back better""";book;10.3390/su12124979
Social capital and disaster resilience nexus: A study of flash flood recovery in Jeddah City;conferencePaper;10.3390/su12114668
Remembering, Forgetting, and Absencing Disasters in the Post-disaster Recovery Process;journalArticle;10.1007/s13753-020-00277-8
Mud masonry houses in Nepal: A detailed study based on entire reconstruction scenario in 31 earthquake-affected districts;journalArticle;10.1016/j.istruc.2020.03.042
Perceptions of post-disaster housing safety in future typhoons and earthquakes;journalArticle;10.3390/su12093837
Recovery curves for housing reconstruction from the 2011 Great East Japan Earthquake and comparison with other post-disaster recovery processes;journalArticle;10.1016/j.ijdrr.2019.101467
Rescuer, decision maker, and breadwinner: Women's predominant leadership across the post-Wenchuan earthquake efforts in rural areas, Sichuan, China;journalArticle;10.1016/j.ssci.2020.104623
Transition of post-disaster housing of rural households: A case study of the 2015 Gorkha earthquake in Nepal;journalArticle;10.1016/j.ijdrr.2019.101443
Lucrative Disaster: Financialization, Accumulation and Postearthquake Reconstruction in Nepal;journalArticle;10.1080/00130095.2020.1722635
Rehabilitation and reconstruction of community housing post-West Nusa Tenggara Earthquake 2018 (A case of Lauk Rurung Timuk and Lauk Rurung Barat Sub-villages, Sembalun Bumbung, Sembalun, East Lombok);journalArticle;10.1051/e3sconf/202015605017
Lombok earthquake, one year later: Housing sector recovery;journalArticle;10.1051/e3sconf/202015601012
“Blessing in disguise”: The impact of the Wenchuan earthquake on inbound tourist arrivals in Sichuan, China;journalArticle;10.1016/j.jhtm.2019.11.011
Evaluating the effects of reconstruction of the damaged villages in the 2002 earthquake in Avaj, Iran;journalArticle;10.1016/j.ijdrr.2019.101373
A Philanthropic Approach to Supporting Emergent Disaster Response and Recovery;journalArticle;10.1017/dmp.2019.97
The role of the state in China’s post-disaster reconstruction planning: Implications for resilience;journalArticle;10.1177/0042098019859232
A spatially explicit model of postdisaster housing recovery;journalArticle;10.1111/mice.12487
A landscape ecology investigation: The demand for green infrastructure in the design of disaster-struck areas;bookSection;10.5593/sgem2020/6.1/s27.061
Disaster governance as the governance of decentralized systems: the case of the 2003 Bam earthquake in Iran;journalArticle;10.1108/DPM-08-2020-0275
Factors contributing building reconstruction and renovation challenges: A case study after april 2015 gorkha earthquake;bookSection;10.1061/9780784482872.047
“Build Back Better”: Between public policy and local implementation, the challenges in Tohoku’s reconstruction;journalArticle;10.2478/aup-2020-0001
Build back better concepts for resilient recovery: a case study of India’s 2018 flood recovery;journalArticle;10.1108/IJDRBE-05-2020-0044
Traditional practices, communities’ aspirations, and reconstructed end products: Analyzing the post-sidr reconstruction in the Coastal Region of Bangladesh;journalArticle;
Sustainable development through post-disaster reconstruction: A unique example in Sri Lanka;journalArticle;
Places at risk called home: Rethinking the reconstruction in ischia;journalArticle;
How to be fair in prioritizing support in the aftermath of disasters: Pakistan’s housing reconstruction challenges following the 2010 flood disaster;journalArticle;
Prepare for recovery: Approaches for psychosocial response and recovery;journalArticle;
Recovery from natural disaster: A study on tsunami-affected micro, small and medium enterprises in Galle and Matara districts in Sri Lanka;journalArticle;10.1504/IJRAM.2020.106972
Comparative analysis of the technical-political logic of reconstruction: Earthquake and forest fires in Maule, Chile;journalArticle;10.4067/S0718-83582020000100155
Still struggling: intersectionality, vulnerability, and long-term recovery after the Tuscaloosa, Alabama USA Tornado;conferencePaper;10.1080/19460171.2020.1724549
Post-tsunami reconstruction and panchayats: Political economy barriers to effective implementation. Independent consultant and Urban environmental specialist;journalArticle;
Post-disaster recovery and sociocultural change: Rethinking social capital development for the new social fabric;journalArticle;10.1016/j.ijdrr.2019.101356
Research on post-Wenchuan earthquake recovery and reconstruction implementation: A case study of housing reconstruction of Dujiangyan City;book;10.1016/j.pdisas.2019.100041
Development and divergent post-disaster trajectories in a mountain village: Temporal dynamics of differentiation after the 2008 Wenchuan earthquake;conferencePaper;10.1016/j.worlddev.2019.104663
Social media communication data for recovery: Detecting socio-economic activities following a disaster;bookSection;
Evaluation of Handover Practice in Post-disaster Reconstruction in Aceh Province, Indonesia;journalArticle;10.1088/1757-899X/620/1/012071
A review of literature on types, stages of recovery and humanitarian logistics operations in the tsunami and earthquake disaster in Indonesia;journalArticle;10.1088/1757-899X/674/1/012043
Economic resilience and recovery efficiency in the severely affected area of Ms 8.0Wenchuan earthquake;journalArticle;10.11821/dlxb201910009
Reliability of Build Back Better at enhancing resilience of communities;conferencePaper;10.1108/IJDRBE-05-2019-0025
Disaster, reconstruction, and data for social good: the case of wildfires in Portugal;conferencePaper;10.1108/IJDRBE-06-2019-0035
Local recovery planning process for Wujal Wujal;journalArticle;10.1590/15174522-101815
The role of household social capital in post-disaster recovery: An empirical study in Japan;journalArticle;10.1016/j.ijdrr.2019.101199
Effective combinations of information content and channels for the post-disaster reconstruction of rural housing: A case study of the 2015 Gorkha Nepal Earthquake;journalArticle;10.1016/j.ijdrr.2019.101118
Why lessons learnt are lost: Understanding the complexity of barriers to Build Back Better in Pakistan;journalArticle;10.1108/DPM-04-2019-0103
Model of socio-economic recovery of farmers in erupted areas of mount Sinabung in Karo Regency;journalArticle;10.1088/1755-1315/314/1/012065
Daily bicycle and pedestrian activity as an indicator of disaster recovery: A hurricane harvey case study;journalArticle;10.3390/ijerph16162836
Coping, caring and believing: The embodied work of disaster recovery workers;journalArticle;10.1016/j.emospa.2019.100592
User involvement in housing recovery after typhoon Haiyan from a capability perspective;journalArticle;10.1016/j.ijdrr.2019.101158
Why and how to build back better in shrinking territories?;journalArticle;10.1108/DPM-12-2017-0322
Women's Role in Post-Disaster Recovery in South Merapi Slopes;journalArticle;10.1088/1755-1315/271/1/012001
Post-Disaster Recovery and A New Economic Growth Path: A Comparative Study of Three Provinces in Indonesia;journalArticle;10.1088/1755-1315/273/1/012061
The Evolution of Localized Housing Recovery in Japan;journalArticle;10.1088/1755-1315/273/1/012055
Social capital as a vital resource in flood disaster recovery in Malaysia;journalArticle;10.1080/07900627.2018.1467312
An exploratory temporal analysis of the lodging market and state economic recovery from Hurricane Sandy (The lodging market recovery from Hurricane Sandy);conferencePaper;10.1108/IJCHM-06-2018-0513
Anchors of social network awareness index: A key to modeling postdisaster housing recovery;journalArticle;10.1061/(ASCE)IS.1943-555X.0000471
Post-disaster recovery associations of power systems dependent critical infrastructures;journalArticle;10.3390/infrastructures4020030
Residential taxable value recovery in coastal Mississippi after Hurricane Katrina;journalArticle;10.1080/03003930.2018.1563541
“Build back better” approach to disaster recovery: Research trends since 2006;journalArticle;10.1016/j.pdisas.2019.100003
Importance of a victim-oriented recovery policy after major disasters;book;10.1016/j.econmod.2018.09.011
Access after the earthquake: the micro politics of recovery and reconstruction in Sindhupalchok District, Nepal, with particular reference to caste;journalArticle;10.1080/09584935.2018.1559278
Water, sanitation and hygiene (WASH) and disaster recovery for community resilience: A mixed methods study from Odisha, India;journalArticle;10.1016/j.ijdrr.2018.12.023
Challenges to mobilising resources for disaster recovery and reconstruction: perspectives of the Haitian diaspora;journalArticle;10.1111/disa.12318
Moving from prefabricated temporary housing to public reconstruction housing and social isolation after the Great East Japan Earthquake: A longitudinal study using propensity score matching;journalArticle;10.1136/bmjopen-2018-026354
Postdisaster Reconstruction as a Cause of Intrastate Violence: An Instrumental Variable Analysis with Application to the 2004 Tsunami in Sri Lanka;journalArticle;10.1177/0022002717753919
Business Continuity and Disaster Recovery in the Aftermath of Hurricane Irma: Exploring Whether Community-Level Mitigation Activities Make a Difference;journalArticle;10.1061/(ASCE)NH.1527-6996.0000323
Evaluation on the environment of post-disaster reconstruction of ancient town based on fuzzy analytic hierarchy process;journalArticle;10.3724/SP.J.1249.2019.01101
Disaster recovery through the lens of justice;journalArticle;
Reconstruction machizukuri and negotiating safety in post-3.11 community recovery in Yamamoto;journalArticle;10.1080/18692729.2018.1556495
Advancing resilience post-disaster: Improving designer-user communication in the post- Lushan earthquake reconstruction and recovery;journalArticle;
The recovery process: The standard used to measure emergency Management effectiveness in the eyes of the public;journalArticle;
The effect of social capital on household reconstruction: Puerto Rico recovering from Hurricane Maria;journalArticle;
Building structural systems in Christchurch’s post-earthquake reconstruction;journalArticle;10.1193/052818EQS126O
Holistic landscape planning's value for natural disaster reconstruction: Willingness to pay for new residence in different reconstruction planning approaches;journalArticle;10.21660/2019.56.4601
Neighbourhood recovery and community wellbeing in cities following natural disasters: Findings from Christchurch, New Zealand;journalArticle;
A Region Recovers: Planning for Resilience after Superstorm Sandy;journalArticle;10.1177/0739456X19864145
An assessment of post tsunami recovery of coastal settlements in kerala: A case of kollam district;journalArticle;10.1201/9781351227544-74
Factors influencing community recovery decision making: A case study of the 2016 Fort McMurray wildfires;journalArticle;
Understanding sustainability of post Tsunami reconstruction and rehabilitation initiatives of Tsunami affected areas in Kerala, India;journalArticle;
Building new houses or long-term recovery? A combination of quantitative and qualitative evidence from earthquake-displaced households in Sichuan, China;journalArticle;10.1016/j.habitatint.2018.12.002
Efforts toward recovery and reconstruction from the great East Japan earthquake;journalArticle;10.20965/jdr.2018.p1247
Research on the earthquake disaster area of Jiuzhaigou and the reflection of reconstruction mode;journalArticle;
A measurement framework of community recovery to earthquake: a Wenchuan Earthquake case study;journalArticle;10.1007/s10901-018-9602-9
The role of local entrepreneurs in promoting disaster recovery: a review of Community Revival in the Wake of Disaster;journalArticle;10.1007/s11138-017-0401-4
Sustainability evaluation of post-disaster housing reconstruction after 55 years: Rudak village, Iran;journalArticle;10.1108/IJDRBE-08-2017-0050
A comparison of different reconstruction modes and adaptive evaluation systems for community recovery following theWenchuan Earthquake;journalArticle;10.3390/su10114115
Evaluating China's paired-assistance policy (PAP) in response to the Wenchuan earthquake: A sustainability perspective;journalArticle;10.3390/su10103732
Disaster Resilience into Which Direction(s)? Competing Discursive and Material Practices in Post-Katrina New Orleans;journalArticle;10.1080/14036096.2017.1308434
How Community and Public Health Partnerships Contribute to Disaster Recovery and Resilience;journalArticle;10.1017/dmp.2017.130
The link between social capital and disaster recovery: evidence from coastal communities in Bangladesh;journalArticle;10.1007/s11069-018-3367-z
Social vulnerability and participation in disaster recovery decisions: public housing in Galveston after Hurricane Ike;conferencePaper;10.1007/s11069-018-3371-3
Post-disaster social recovery: disaster governance lessons learnt from Tropical Cyclone Yasi;journalArticle;10.1007/s11069-018-3345-5
Role of government in flood disaster recovery for SMEs in Pathumthani province, Thailand;journalArticle;10.1007/s11069-018-3335-7
Building back better with people centered housing recovery;journalArticle;10.1016/j.ijdrr.2017.09.005
A novel framework for owner driven reconstruction projects to enhance disaster resilience in the long term;journalArticle;10.1108/DPM-11-2017-0285
Post-earthquake housing reconstruction in the Sikkim Himalaya: approaches, challenges, and lessons learnt;journalArticle;10.1080/09614524.2018.1469601
Cooperative post-disaster reconstruction of Xijie historic quarter, China: Directing conservation practice towards inclusive social and economic development;journalArticle;
Business recovery: an assessment framework;journalArticle;10.1111/disa.12261
Citizen participation in disaster recovery projects and programmes in rural communities: a comparison of the Haiti earthquake and Hurricane Katrina;journalArticle;10.1111/disa.12260
Post-disaster reconstruction in Christchurch: a “build back better” perspective;journalArticle;10.1108/IJDRBE-01-2017-0009
Restoration of Ecological Infrastructure in Rural Areas after Earthquake - A Case Study from Dujiangyan, Sichuan Province;journalArticle;10.1088/1755-1315/153/6/062055
A Comparative Analysis of the Roles Governors Play in Disaster Recovery;journalArticle;10.1002/rhc3.12133
Dynamic Economic Resilience and Economic Recovery from Disasters: A Quantitative Assessment;journalArticle;10.1111/risa.12948
Recovery and resilience of communities in flood risk zones in a small island developing state: A case study from a suburban settlement of Port Louis, Mauritius;conferencePaper;10.1016/j.ijdrr.2018.03.019
Beyond public meetings: Diverse forms of community led recovery following disaster;journalArticle;10.1016/j.ijdrr.2018.02.035
The recovery myth: The plans and situated realities of post-disaster response;journalArticle;
Lessons from tsunami recovery towards guidelines of housing provision in Malaysia;journalArticle;
Housing Recovery after Disasters: Primary versus Seasonal and Vacation Housing Markets in Coastal Communities;journalArticle;10.1061/(ASCE)NH.1527-6996.0000287
Government Agency Communication during Postdisaster Reconstruction: Insights from the Christchurch Earthquakes Recovery;journalArticle;10.1061/(ASCE)NH.1527-6996.0000283
Landscape design strategies for post-disaster reconstructions based on traditional ethical wisdom;journalArticle;10.1063/1.5029734
Radical Resilience: Autonomous Self-management in Post-disaster Recovery Planning and Practice;conferencePaper;10.1080/14649357.2018.1458965
Designing happiness? A close-up to the housing reconstruction process after the Chile earthquake and tsunami, on 27 february 2010;journalArticle;10.1007/s11069-017-3139-1
Self-extensional space in relocated housing after 2004 indian ocean tsunami: Case study of namkem community, PhangNga, Thailand;journalArticle;10.20965/jdr.2018.p0168
Nonprofit Organizations and Community Disaster Recovery: Assessing the Value and Impact of Intersector Collaboration;journalArticle;10.1061/(ASCE)NH.1527-6996.0000269
Building resilience in heritage district: Lesson learned from Kotagede Yogyakarta Indonesia;journalArticle;10.1088/1755-1315/99/1/012006
A tide that does not lift all boats: the surge of remittances in post-disaster recovery in Tacloban City, Philippines;journalArticle;10.1080/14672715.2017.1401935
Defining economic recovery: An application of the synthetic control method;journalArticle;
'We needed help, but we weren't helpless': The community experience of community recovery after natural disaster in Australia;bookSection;
Perspectives on resilience: A field study of housing recovery in Chile after the 2010 event;journalArticle;
‘Sustainability’ After Disaster: Confronting the Complexities of Recovery in the Field: An Educational Experience;journalArticle;
Quality indicators in post-disaster housing: Case of the 2017 Coastal El Niño, Piura;journalArticle;
Community resilience in the face of natural disasters: Caleta tumbes, biobío region of Chile;journalArticle;10.15446/rcdg.v27n1.59904
Initial organisational formation of the housing reconstruction programme in bam;journalArticle;
Community Businesses as Social Units in Post-Disaster Recovery;journalArticle;10.1177/0739456X18804328
Displacements in the post-catastrophe reconstruction process: The case of post 27F earthquake Talca;journalArticle;10.4206/aus.2018.n23-06
Long-term Recovery from Hurricane Sandy: Evidence from a Survey in New York City;journalArticle;10.1017/dmp.2017.57
Promoting public interest design: Green social work interventions during the post-Ya’an earthquake reconstruction and recovery in Sichuan, China;journalArticle;
A post-morakot environmentally friendly reconstruction solution: Reflections from a green social work perspective;journalArticle;
Production of disaster and recovery in post-earthquake haiti: Disaster industrial complex;journalArticle;
Planning and governance for disaster recovery in Tacloban after Typhoon Haiyan (the Philippines);journalArticle;
Long-term satisfaction of resettled communities: An assessment of physical performance of post-disaster housing;journalArticle;10.1016/j.proeng.2018.01.148
The Role of Humanitarian Agencies in Reconstruction and Development of Disaster Affected Communities in Japan and the Philippines;journalArticle;10.1016/j.proeng.2018.01.078
Disaster recovery processes: Analysing the interplay between communities and authorities in Chennai, India;journalArticle;10.1016/j.proeng.2018.01.083
Funding mechanisms for disaster recovery: Can we afford to build back better?;journalArticle;10.1016/j.proeng.2018.01.058
Community level indicators of long term disaster recovery;journalArticle;10.1016/j.proeng.2018.01.166
Ten years later: Economic resilience of small scale enterprise following earthquake in Bantul Yogyakarta;book;10.1016/j.proeng.2018.01.040
Empowerment and legitimization of effected communities in post-disaster reconstruction;journalArticle;10.1016/j.proeng.2018.01.151
Sri Lanka's post-tsunami health system recovery: A qualitative analysis of physician perspectives;journalArticle;10.1093/inthealth/ihx064
Dynamics of early recovery in two historically low-income New Orleans' neighborhoods: Tremé and Central City;journalArticle;
A bridged government–NGOs relationship in post-earthquake reconstruction: the Ya’an service center in Lushan earthquake;journalArticle;10.1007/s11069-017-3056-3
Planning challenges for housing and built environment recovery after the Great East Japan Earthquake: Collaborative planning and management go beyond government-driven redevelopment projects;journalArticle;
The problems of plan-making: Reconstruction plans after the Great East Japan Earthquake;journalArticle;
