"titulo","tipo_paper","doi","doi1"
"Wellbeing Recovery Inequity Following The 2010/2011 Canterbury Earthquake Sequence: Repeated Cross-Sectional Studies","book","10.1111/1753-6405.13054","10.1111"
"Understanding Short-Term Household Recoveries From The 2015 Nepal Earthquakes: Lessons Learned And Recommendations","journalArticle","10.1016/j.pdisas.2021.100169","10.1016"
"Community-Based Participatory Approach In Cultural Heritage Reconstruction: A Case Study Of Kasthamandap","journalArticle","10.1016/j.pdisas.2021.100153","10.1016"
"Inclusion Of The Poor And Vulnerable: Learning From Post-Earthquake Housing Reconstruction In Nepal","journalArticle","10.1016/j.pdisas.2021.100162","10.1016"
"Community Led Post-Earthquake Heritage Reconstruction In Patan-Issues And Lessons Learned","journalArticle","10.1016/j.pdisas.2021.100156","10.1016"
"An Analysis Of Use And Effectiveness Of Communication Channels Media And Tools In Post-Earthquake Private Housing Reconstruction In Nepal","conferencePaper","10.1016/j.pdisas.2021.100157","10.1016"
"Reconstruction Assistance In Rural Nepal After The 2015 Gorkha Nepal Earthquake Through Aarma Parmah Approach - A Case Study In Bijulikot Ramechhap District","journalArticle","10.1016/j.pdisas.2021.100148","10.1016"
"Geographies Of Doing Nothing-Internal Displacement And Practices Of Post-Disaster Recovery In Urban Areas Of The Kathmandu Valley Nepal","journalArticle","10.3390/socsci10030110","10.3390"
"A System Disconnected: Perspectives On Post-Disaster Housing Recovery Policy And Programs","journalArticle","10.1007/s11069-020-04463-1","10.1007"
"Leaving Problematic Assets Behind: Lessons From Post-Tsunami Reconstruction In Aceh","journalArticle","10.1088/1755-1315/682/1/012007","10.1088"
"Support From Inland Local Governments For The Reconstruction From Tsunami Disaster: Case Of Morioka City Iwate Pref.","journalArticle","10.3130/AIJT.27.493","10.3130"
"An Inquiry Into Success Factors For Post-Disaster Housing Reconstruction Projects: A Case Of Kerala South India","journalArticle","10.1007/s13753-020-00309-3","10.1007"
"Institutional Coordination Of Disaster Management: Engaging National And Local Governments In Japan","journalArticle","10.1061/(ASCE)NH.1527-6996.0000423","10.1061"
"What Makes A Successful Livelihood Recovery? A Study Of China’S Lushan Earthquake","journalArticle","10.1007/s11069-020-04412-y","10.1007"
"Analysis Of The Capacity Of The Rehabilitation And Reconstruction Policy Due To The Mount Sinabung Eruption Disaster In Indonesia","journalArticle","10.48047/rigeo.11.05.377","10.4804"
"Trends And Relationships In Victims’ Recovery Perceptions: A Case Study Of The Recovery Process Following The Great East Japan Earthquake","bookSection","10.1007/s11069-021-04979-0","10.1007"
"Assessing Post-Disaster Recovery Using Sentiment Analysis: The Case Of L’Aquila Italy","bookSection","10.1177/87552930211036486","10.1177"
"Dynamic Economic Resilience Scenarios For Measuring Long-Term Community Housing Recovery","bookSection","10.1080/17477891.2021.1962784","10.1080"
"Post-Disaster Sheltering Process After The 2019 Floods In Golestan Province Iran","journalArticle","10.1108/IJDRBE-03-2021-0023","10.1108"
"Prolific But Undemanding. The State And The Post-Disaster Reconstruction Of A Small Regional Capital: The Case Of L’Aquila Italy","journalArticle","10.1080/04353684.2021.1944816","10.1080"
"Efforts To Grasp Progresses Of Recovery And Reconstruction Following The Great East Japan Earthquake On Broader-Areas And Local-Areas","journalArticle","10.5026/jgeography.130.289","10.5026"
"Corrupción Pasiva En La Reconstrucción De La Ciudad De México","journalArticle","10.22201/iis.01882503p.2021.2.60090","10.2220"
"Social Capital Trust And Collective Action In Post-Earthquake Nepal","journalArticle","10.1007/s11069-020-04363-4","10.1007"
"Women’S Capabilities In Disaster Recovery And Resilience Must Be Acknowledged Utilized And Supported","journalArticle","10.1080/09589236.2020.1801397","10.1080"
"A Bayesian Modeling Approach For Estimating Earthquake Reconstruction Behavior","conferencePaper","10.1080/24694452.2020.1756207","10.1080"
"Alternative Narrations And Imaginations Of Disaster Recovery: A Case Study Of Relocatees After The Christchurch New Zealand Earthquakes","journalArticle","10.1080/14649365.2019.1574883","10.1080"
"Defining Build-Back-Better After Disasters With An Example: Sri Lanka’S Recovery After The 2004 Tsunami","journalArticle","10.1561/101.00000122","10.1561"
"Prospects And Constraints Of Post-Cyclone Housing Reconstruction In Vanuatu Drawing From The Experience Of Tropical Cyclone Harold","journalArticle","10.1016/j.pdisas.2020.100126","10.1016"
"Anatomy Of Disaster Recoveries: Tangible And Intangible Short-Term Recovery Dynamics Following The 2015 Nepal Earthquakes","journalArticle","10.1016/j.ijdrr.2020.101879","10.1016"
"Recovery And Reconstruction Of Schools After M 7.3 Ezgeleh-Sarpole-Zahab Earthquake; Part Ii: Recovery Process And Resiliency Calculation","journalArticle","10.1016/j.soildyn.2020.106327","10.1016"
"The Impact Of A Cyclonic Disaster On Coastal Communities In Bangladesh: Possible Community-Led Interventions Towards Sustainable Disaster Recovery","conferencePaper","10.1007/s40609-020-00181-5","10.1007"
"Assessing Disaster Capitalism In Post-Disaster Processes In Chile: Neoliberal Reforms And The Role Of The Corporate Class","journalArticle","10.1108/DPM-01-2020-0005","10.1108"
"Promoting School’S Recovery And Resilience After The Chi-Chi Earthquake","bookSection","10.1108/DPM-09-2019-0311","10.1108"
"Prioritizing Psychosocial Services For Children Youth And Families Postdisaster","journalArticle","10.1108/DPM-09-2019-0310","10.1108"
"Top-Down Reconstruction And The Failure To “Build Back Better” Resilient Communities After Disaster: Lessons From The 2009 L'Aquila Italy Earthquake","conferencePaper","10.1108/DPM-11-2019-0336","10.1108"
"The Influence Of The Physical Environment On Self-Recovery After Disasters In Nepal And The Philippines","journalArticle","10.1016/j.ijdrr.2020.101673","10.1016"
"A Tale Of Two Counties In The Wake Of The 2017 Hurricane Season","journalArticle","10.1016/j.ijdrr.2020.101902","10.1016"
"Opportunities And Challenges Of Public Participation In Post-Disaster Recovery Planning: Lessons From Galveston Tx","journalArticle","10.1061/(ASCE)NH.1527-6996.0000399","10.1061"
"Navigating Multidimensional Household Recoveries Following The 2015 Nepal Earthquakes","journalArticle","10.1016/j.worlddev.2020.105041","10.1016"
"Structural And Operational Factors As Determinant Of Meaningful Community Participation In Sustainable Disaster Recovery Programs: The Case Of Bangladesh","journalArticle","10.1016/j.ijdrr.2020.101710","10.1016"
"Importance Of Households In Business Disaster Recovery","journalArticle","10.1061/(ASCE)NH.1527-6996.0000393","10.1061"
"Housing Rehabilitation And Reconstruction In Central Sulawesi Post-2018 Earthquake","journalArticle","10.1051/e3sconf/202020003004","10.1051"
"Recovery Of The Island Of Saint Martin After Hurricane Irma: An Interdisciplinary Perspective","journalArticle","10.3390/su12208585","10.3390"
"Guest Editorial To The Special Issue: Lessons Learned From Post-2008 Wenchuan Earthquake Community Recovery","journalArticle","10.1007/s11069-020-04341-w","10.1007"
"Nurses And Churches Are Essential To Postdisaster Recovery","journalArticle","10.1097/CNJ.0000000000000750","10.1097"
"Recovery Evaluation Of Villages Reconstructed With Concentrated Rural Settlement After The Wenchuan Earthquake","journalArticle","10.1007/s11069-020-04241-z","10.1007"
"Airdropped Urban Condominiums And Stay-Behind Elders’ Well-Being: 10-Year Lessons Learned From The Post-Wenchuan Earthquake Rural Recovery","journalArticle","10.1016/j.jrurstud.2020.08.008","10.1016"
"Rebuilding Resilient Homeland: An Ngo-Led Post-Lushan Earthquake Experimental Reconstruction Program","bookSection","10.1007/s11069-020-04194-3","10.1007"
"The Evolving Pattern Of Ngos’ Participating In Post-Disaster Community Reconstruction In China: Cases Study On The 2008 Wenchuan Earthquake And The 2013 Lushan Earthquake","journalArticle","10.1007/s11069-020-04130-5","10.1007"
"Key Factors Affecting Sustained Business Operations After An Earthquake: A Case Study From New Beichuan China 2013-2017","journalArticle","10.1007/s11069-019-03597-1","10.1007"
"Research On Transformation From “Paired Assistance” To “Collaborative Networks” In Post-Disaster Recovery Of 2008 Wenchuan Earthquake China","journalArticle","10.1007/s11069-019-03598-0","10.1007"
"Community Satisfaction Levels On The Housing Reconstruction Project After Mentawai Tsunami In 2010 - A Case Study At Sipora Island","journalArticle","10.1088/1757-899X/933/1/012041","10.1088"
"Revisiting Cyclone Phailin: Drivers Of Recovery In Marine Fishing Communities","journalArticle","10.1016/j.ijdrr.2020.101609","10.1016"
"Role Of Local Actors In Wash (Water Sanitation And Hygiene) During Disaster Recovery: Policy Implications From Evidence In Odisha India","journalArticle","10.1080/17477891.2019.1667290","10.1080"
"Geo-Logics Of Power: Disaster Capitalism Himalayan Materialities And The Geopolitical Economy Of Reconstruction In Post-Earthquake Nepal","journalArticle","10.1080/14650045.2018.1533818","10.1080"
"Sink Or Swim? Impacts Of Management Strategies On Small Business Survival And Recovery","journalArticle","10.3390/SU12156229","10.3390"
"Liquidity And Consumption: Evidence From Three Post-Earthquake Reconstruction Programs In Italy","journalArticle","10.1257/mac.20180190","10.1257"
"Women As Recovery Enablers In The Face Of Disasters In Vanuatu","journalArticle","10.1016/j.geoforum.2020.05.003","10.1016"
"Does ‘Manna From Heaven’ Help? The Role Of Cash Transfers In Disaster Recovery—Lessons From Fiji After Tropical Cyclone Winston","journalArticle","10.1111/disa.12411","10.1111"
"A Framework Of Resilience Development For Poor Villages After The Wenchuan Earthquake Based On The Principle Of ""Build Back Better""","book","10.3390/su12124979","10.3390"
"Social Capital And Disaster Resilience Nexus: A Study Of Flash Flood Recovery In Jeddah City","conferencePaper","10.3390/su12114668","10.3390"
"Remembering Forgetting And Absencing Disasters In The Post-Disaster Recovery Process","journalArticle","10.1007/s13753-020-00277-8","10.1007"
"Mud Masonry Houses In Nepal: A Detailed Study Based On Entire Reconstruction Scenario In 31 Earthquake-Affected Districts","journalArticle","10.1016/j.istruc.2020.03.042","10.1016"
"Perceptions Of Post-Disaster Housing Safety In Future Typhoons And Earthquakes","journalArticle","10.3390/su12093837","10.3390"
"Recovery Curves For Housing Reconstruction From The 2011 Great East Japan Earthquake And Comparison With Other Post-Disaster Recovery Processes","journalArticle","10.1016/j.ijdrr.2019.101467","10.1016"
"Rescuer Decision Maker And Breadwinner: Women'S Predominant Leadership Across The Post-Wenchuan Earthquake Efforts In Rural Areas Sichuan China","journalArticle","10.1016/j.ssci.2020.104623","10.1016"
"Transition Of Post-Disaster Housing Of Rural Households: A Case Study Of The 2015 Gorkha Earthquake In Nepal","journalArticle","10.1016/j.ijdrr.2019.101443","10.1016"
"Lucrative Disaster: Financialization Accumulation And Postearthquake Reconstruction In Nepal","journalArticle","10.1080/00130095.2020.1722635","10.1080"
"Rehabilitation And Reconstruction Of Community Housing Post-West Nusa Tenggara Earthquake 2018 (A Case Of Lauk Rurung Timuk And Lauk Rurung Barat Sub-Villages Sembalun Bumbung Sembalun East Lombok)","journalArticle","10.1051/e3sconf/202015605017","10.1051"
"Lombok Earthquake One Year Later: Housing Sector Recovery","journalArticle","10.1051/e3sconf/202015601012","10.1051"
"“Blessing In Disguise”: The Impact Of The Wenchuan Earthquake On Inbound Tourist Arrivals In Sichuan China","journalArticle","10.1016/j.jhtm.2019.11.011","10.1016"
"Evaluating The Effects Of Reconstruction Of The Damaged Villages In The 2002 Earthquake In Avaj Iran","journalArticle","10.1016/j.ijdrr.2019.101373","10.1016"
"A Philanthropic Approach To Supporting Emergent Disaster Response And Recovery","journalArticle","10.1017/dmp.2019.97","10.1017"
"The Role Of The State In China’S Post-Disaster Reconstruction Planning: Implications For Resilience","journalArticle","10.1177/0042098019859232","10.1177"
"A Spatially Explicit Model Of Postdisaster Housing Recovery","journalArticle","10.1111/mice.12487","10.1111"
"A Landscape Ecology Investigation: The Demand For Green Infrastructure In The Design Of Disaster-Struck Areas","bookSection","10.5593/sgem2020/6.1/s27.061","10.5593"
"Disaster Governance As The Governance Of Decentralized Systems: The Case Of The 2003 Bam Earthquake In Iran","journalArticle","10.1108/DPM-08-2020-0275","10.1108"
"Factors Contributing Building Reconstruction And Renovation Challenges: A Case Study After April 2015 Gorkha Earthquake","bookSection","10.1061/9780784482872.047","10.1061"
"“Build Back Better”: Between Public Policy And Local Implementation The Challenges In Tohoku’S Reconstruction","journalArticle","10.2478/aup-2020-0001","10.2478"
"Build Back Better Concepts For Resilient Recovery: A Case Study Of India’S 2018 Flood Recovery","journalArticle","10.1108/IJDRBE-05-2020-0044","10.1108"
"Recovery From Natural Disaster: A Study On Tsunami-Affected Micro Small And Medium Enterprises In Galle And Matara Districts In Sri Lanka","journalArticle","10.1504/IJRAM.2020.106972","10.1504"
"Comparative Analysis Of The Technical-Political Logic Of Reconstruction: Earthquake And Forest Fires In Maule Chile","journalArticle","10.4067/S0718-83582020000100155","10.4067"
"Still Struggling: Intersectionality Vulnerability And Long-Term Recovery After The Tuscaloosa Alabama Usa Tornado","conferencePaper","10.1080/19460171.2020.1724549","10.1080"
"Post-Disaster Recovery And Sociocultural Change: Rethinking Social Capital Development For The New Social Fabric","journalArticle","10.1016/j.ijdrr.2019.101356","10.1016"
"Research On Post-Wenchuan Earthquake Recovery And Reconstruction Implementation: A Case Study Of Housing Reconstruction Of Dujiangyan City","book","10.1016/j.pdisas.2019.100041","10.1016"
"Development And Divergent Post-Disaster Trajectories In A Mountain Village: Temporal Dynamics Of Differentiation After The 2008 Wenchuan Earthquake","conferencePaper","10.1016/j.worlddev.2019.104663","10.1016"
"Evaluation Of Handover Practice In Post-Disaster Reconstruction In Aceh Province Indonesia","journalArticle","10.1088/1757-899X/620/1/012071","10.1088"
"A Review Of Literature On Types Stages Of Recovery And Humanitarian Logistics Operations In The Tsunami And Earthquake Disaster In Indonesia","journalArticle","10.1088/1757-899X/674/1/012043","10.1088"
"Economic Resilience And Recovery Efficiency In The Severely Affected Area Of Ms 8.0Wenchuan Earthquake","journalArticle","10.11821/dlxb201910009","10.1182"
"Reliability Of Build Back Better At Enhancing Resilience Of Communities","conferencePaper","10.1108/IJDRBE-05-2019-0025","10.1108"
"Disaster Reconstruction And Data For Social Good: The Case Of Wildfires In Portugal","conferencePaper","10.1108/IJDRBE-06-2019-0035","10.1108"
"Local Recovery Planning Process For Wujal Wujal","journalArticle","10.1590/15174522-101815","10.1590"
"The Role Of Household Social Capital In Post-Disaster Recovery: An Empirical Study In Japan","journalArticle","10.1016/j.ijdrr.2019.101199","10.1016"
"Effective Combinations Of Information Content And Channels For The Post-Disaster Reconstruction Of Rural Housing: A Case Study Of The 2015 Gorkha Nepal Earthquake","journalArticle","10.1016/j.ijdrr.2019.101118","10.1016"
"Why Lessons Learnt Are Lost: Understanding The Complexity Of Barriers To Build Back Better In Pakistan","journalArticle","10.1108/DPM-04-2019-0103","10.1108"
"Model Of Socio-Economic Recovery Of Farmers In Erupted Areas Of Mount Sinabung In Karo Regency","journalArticle","10.1088/1755-1315/314/1/012065","10.1088"
"Daily Bicycle And Pedestrian Activity As An Indicator Of Disaster Recovery: A Hurricane Harvey Case Study","journalArticle","10.3390/ijerph16162836","10.3390"
"Coping Caring And Believing: The Embodied Work Of Disaster Recovery Workers","journalArticle","10.1016/j.emospa.2019.100592","10.1016"
"User Involvement In Housing Recovery After Typhoon Haiyan From A Capability Perspective","journalArticle","10.1016/j.ijdrr.2019.101158","10.1016"
"Why And How To Build Back Better In Shrinking Territories?","journalArticle","10.1108/DPM-12-2017-0322","10.1108"
"Women'S Role In Post-Disaster Recovery In South Merapi Slopes","journalArticle","10.1088/1755-1315/271/1/012001","10.1088"
"Post-Disaster Recovery And A New Economic Growth Path: A Comparative Study Of Three Provinces In Indonesia","journalArticle","10.1088/1755-1315/273/1/012061","10.1088"
"The Evolution Of Localized Housing Recovery In Japan","journalArticle","10.1088/1755-1315/273/1/012055","10.1088"
"Social Capital As A Vital Resource In Flood Disaster Recovery In Malaysia","journalArticle","10.1080/07900627.2018.1467312","10.1080"
"An Exploratory Temporal Analysis Of The Lodging Market And State Economic Recovery From Hurricane Sandy (The Lodging Market Recovery From Hurricane Sandy)","conferencePaper","10.1108/IJCHM-06-2018-0513","10.1108"
"Anchors Of Social Network Awareness Index: A Key To Modeling Postdisaster Housing Recovery","journalArticle","10.1061/(ASCE)IS.1943-555X.0000471","10.1061"
"Post-Disaster Recovery Associations Of Power Systems Dependent Critical Infrastructures","journalArticle","10.3390/infrastructures4020030","10.3390"
"Residential Taxable Value Recovery In Coastal Mississippi After Hurricane Katrina","journalArticle","10.1080/03003930.2018.1563541","10.1080"
"“Build Back Better” Approach To Disaster Recovery: Research Trends Since 2006","journalArticle","10.1016/j.pdisas.2019.100003","10.1016"
"Importance Of A Victim-Oriented Recovery Policy After Major Disasters","book","10.1016/j.econmod.2018.09.011","10.1016"
"Access After The Earthquake: The Micro Politics Of Recovery And Reconstruction In Sindhupalchok District Nepal With Particular Reference To Caste","journalArticle","10.1080/09584935.2018.1559278","10.1080"
"Water Sanitation And Hygiene (Wash) And Disaster Recovery For Community Resilience: A Mixed Methods Study From Odisha India","journalArticle","10.1016/j.ijdrr.2018.12.023","10.1016"
"Challenges To Mobilising Resources For Disaster Recovery And Reconstruction: Perspectives Of The Haitian Diaspora","journalArticle","10.1111/disa.12318","10.1111"
"Moving From Prefabricated Temporary Housing To Public Reconstruction Housing And Social Isolation After The Great East Japan Earthquake: A Longitudinal Study Using Propensity Score Matching","journalArticle","10.1136/bmjopen-2018-026354","10.1136"
"Postdisaster Reconstruction As A Cause Of Intrastate Violence: An Instrumental Variable Analysis With Application To The 2004 Tsunami In Sri Lanka","journalArticle","10.1177/0022002717753919","10.1177"
"Business Continuity And Disaster Recovery In The Aftermath Of Hurricane Irma: Exploring Whether Community-Level Mitigation Activities Make A Difference","journalArticle","10.1061/(ASCE)NH.1527-6996.0000323","10.1061"
"Evaluation On The Environment Of Post-Disaster Reconstruction Of Ancient Town Based On Fuzzy Analytic Hierarchy Process","journalArticle","10.3724/SP.J.1249.2019.01101","10.3724"
"Reconstruction Machizukuri And Negotiating Safety In Post-3.11 Community Recovery In Yamamoto","journalArticle","10.1080/18692729.2018.1556495","10.1080"
"Building Structural Systems In Christchurch’S Post-Earthquake Reconstruction","journalArticle","10.1193/052818EQS126O","10.1193"
"Holistic Landscape Planning'S Value For Natural Disaster Reconstruction: Willingness To Pay For New Residence In Different Reconstruction Planning Approaches","journalArticle","10.21660/2019.56.4601","10.2166"
"A Region Recovers: Planning For Resilience After Superstorm Sandy","journalArticle","10.1177/0739456X19864145","10.1177"
"An Assessment Of Post Tsunami Recovery Of Coastal Settlements In Kerala: A Case Of Kollam District","journalArticle","10.1201/9781351227544-74","10.1201"
"Building New Houses Or Long-Term Recovery? A Combination Of Quantitative And Qualitative Evidence From Earthquake-Displaced Households In Sichuan China","journalArticle","10.1016/j.habitatint.2018.12.002","10.1016"
"Efforts Toward Recovery And Reconstruction From The Great East Japan Earthquake","journalArticle","10.20965/jdr.2018.p1247","10.2096"
"A Measurement Framework Of Community Recovery To Earthquake: A Wenchuan Earthquake Case Study","journalArticle","10.1007/s10901-018-9602-9","10.1007"
"The Role Of Local Entrepreneurs In Promoting Disaster Recovery: A Review Of Community Revival In The Wake Of Disaster","journalArticle","10.1007/s11138-017-0401-4","10.1007"
"Sustainability Evaluation Of Post-Disaster Housing Reconstruction After 55 Years: Rudak Village Iran","journalArticle","10.1108/IJDRBE-08-2017-0050","10.1108"
"A Comparison Of Different Reconstruction Modes And Adaptive Evaluation Systems For Community Recovery Following Thewenchuan Earthquake","journalArticle","10.3390/su10114115","10.3390"
"Evaluating China'S Paired-Assistance Policy (Pap) In Response To The Wenchuan Earthquake: A Sustainability Perspective","journalArticle","10.3390/su10103732","10.3390"
"Disaster Resilience Into Which Direction(S)? Competing Discursive And Material Practices In Post-Katrina New Orleans","journalArticle","10.1080/14036096.2017.1308434","10.1080"
"How Community And Public Health Partnerships Contribute To Disaster Recovery And Resilience","journalArticle","10.1017/dmp.2017.130","10.1017"
"The Link Between Social Capital And Disaster Recovery: Evidence From Coastal Communities In Bangladesh","journalArticle","10.1007/s11069-018-3367-z","10.1007"
"Social Vulnerability And Participation In Disaster Recovery Decisions: Public Housing In Galveston After Hurricane Ike","conferencePaper","10.1007/s11069-018-3371-3","10.1007"
"Post-Disaster Social Recovery: Disaster Governance Lessons Learnt From Tropical Cyclone Yasi","journalArticle","10.1007/s11069-018-3345-5","10.1007"
"Role Of Government In Flood Disaster Recovery For Smes In Pathumthani Province Thailand","journalArticle","10.1007/s11069-018-3335-7","10.1007"
"Building Back Better With People Centered Housing Recovery","journalArticle","10.1016/j.ijdrr.2017.09.005","10.1016"
"A Novel Framework For Owner Driven Reconstruction Projects To Enhance Disaster Resilience In The Long Term","journalArticle","10.1108/DPM-11-2017-0285","10.1108"
"Post-Earthquake Housing Reconstruction In The Sikkim Himalaya: Approaches Challenges And Lessons Learnt","journalArticle","10.1080/09614524.2018.1469601","10.1080"
"Business Recovery: An Assessment Framework","journalArticle","10.1111/disa.12261","10.1111"
"Citizen Participation In Disaster Recovery Projects And Programmes In Rural Communities: A Comparison Of The Haiti Earthquake And Hurricane Katrina","journalArticle","10.1111/disa.12260","10.1111"
"Post-Disaster Reconstruction In Christchurch: A “Build Back Better” Perspective","journalArticle","10.1108/IJDRBE-01-2017-0009","10.1108"
"Restoration Of Ecological Infrastructure In Rural Areas After Earthquake - A Case Study From Dujiangyan Sichuan Province","journalArticle","10.1088/1755-1315/153/6/062055","10.1088"
"A Comparative Analysis Of The Roles Governors Play In Disaster Recovery","journalArticle","10.1002/rhc3.12133","10.1002"
"Dynamic Economic Resilience And Economic Recovery From Disasters: A Quantitative Assessment","journalArticle","10.1111/risa.12948","10.1111"
"Recovery And Resilience Of Communities In Flood Risk Zones In A Small Island Developing State: A Case Study From A Suburban Settlement Of Port Louis Mauritius","conferencePaper","10.1016/j.ijdrr.2018.03.019","10.1016"
"Beyond Public Meetings: Diverse Forms Of Community Led Recovery Following Disaster","journalArticle","10.1016/j.ijdrr.2018.02.035","10.1016"
"Housing Recovery After Disasters: Primary Versus Seasonal And Vacation Housing Markets In Coastal Communities","journalArticle","10.1061/(ASCE)NH.1527-6996.0000287","10.1061"
"Government Agency Communication During Postdisaster Reconstruction: Insights From The Christchurch Earthquakes Recovery","journalArticle","10.1061/(ASCE)NH.1527-6996.0000283","10.1061"
"Landscape Design Strategies For Post-Disaster Reconstructions Based On Traditional Ethical Wisdom","journalArticle","10.1063/1.5029734","10.1063"
"Radical Resilience: Autonomous Self-Management In Post-Disaster Recovery Planning And Practice","conferencePaper","10.1080/14649357.2018.1458965","10.1080"
"Designing Happiness? A Close-Up To The Housing Reconstruction Process After The Chile Earthquake And Tsunami On 27 February 2010","journalArticle","10.1007/s11069-017-3139-1","10.1007"
